id,text,source_system_name,source_table_name,source_field_name,source_field_desc,sap_table_name,sap_field_name,sap_field_desc
mapping_D:\antigravity\TIC\EXCEL\1.xlsx_14,[source_system:倉庫システム] [source_table:] [source_field:BYUS] [source_description:便コード],倉庫システム,,BYUS,便コード,LIKP,VSART,出荷タイプ
mapping_D:\antigravity\TIC\EXCEL\1.xlsx_15,[source_system:倉庫システム] [source_table:] [source_field:BUNS] [source_description:運送会社コード],倉庫システム,,BUNS,運送会社コード,LIPS,AESKD,得意先設計変更ステータス
mapping_D:\antigravity\TIC\EXCEL\1.xlsx_17,[source_system:倉庫システム] [source_table:] [source_field:SKUC] [source_description:口数],倉庫システム,,SKUC,口数,LIPS,EAN11,国際商品コード (EAN/UPC)
mapping_D:\antigravity\TIC\EXCEL\1.xlsx_20,[source_system:倉庫システム] [source_table:] [source_field:BNFD] [source_description:荷札№],倉庫システム,,BNFD,荷札№,LIPS,AESKD,得意先設計変更ステータス
mapping_D:\antigravity\TIC\EXCEL\1.xlsx_21,[source_system:倉庫システム] [source_table:] [source_field:SRSYK] [source_description:出荷連絡数],倉庫システム,,SRSYK,出荷連絡数,LIPS,LFIMG,出荷数量実績 (販売単位)
