id,text,source_system_name,source_table_name,source_field_name,source_field_desc,sap_table_name,sap_field_name,sap_field_desc
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000106(管理番号10124)_インタフェース項目定義書_積送着荷報告データ_R0.81.xlsx_12_forward,[source_system:倉庫システム] [source_table:RZ048] [source_field:SSUR] [source_description:数量],倉庫システム,RZ048,SSUR,数量,MATDOC,MENGE,数量
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000106(管理番号10124)_インタフェース項目定義書_積送着荷報告データ_R0.81.xlsx_12_backward,[source_system:部品SAP] [source_table:MATDOC] [source_field:MENGE] [source_description:数量],部品SAP,MATDOC,MENGE,数量,RZ048,SSUR,数量
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000107(管理番号10115)_インタフェース項目定義書_出荷貨物追跡データ_R0.81.xlsx_10_forward,[source_system:倉庫システム] [source_table:] [source_field:BNFD] [source_description:荷札№],倉庫システム,,BNFD,荷札№,LIPS,AESKD,得意先設計変更ステータス
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000107(管理番号10115)_インタフェース項目定義書_出荷貨物追跡データ_R0.81.xlsx_10_backward,[source_system:部品SAP] [source_table:LIPS] [source_field:AESKD] [source_description:得意先設計変更ステータス],部品SAP,LIPS,AESKD,得意先設計変更ステータス,,BNFD,荷札№
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000107(管理番号10115)_インタフェース項目定義書_出荷貨物追跡データ_R0.81.xlsx_11_forward,[source_system:倉庫システム] [source_table:] [source_field:BTWNO] [source_description:問い合わせ№],倉庫システム,,BTWNO,問い合わせ№,LIPS,EAN11,国際商品コード (EAN/UPC)
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000107(管理番号10115)_インタフェース項目定義書_出荷貨物追跡データ_R0.81.xlsx_11_backward,[source_system:部品SAP] [source_table:LIPS] [source_field:EAN11] [source_description:国際商品コード (EAN/UPC)],部品SAP,LIPS,EAN11,国際商品コード (EAN/UPC),,BTWNO,問い合わせ№
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000107(管理番号10115)_インタフェース項目定義書_出荷貨物追跡データ_R0.81.xlsx_12_forward,[source_system:倉庫システム] [source_table:] [source_field:BUNS] [source_description:運送会社コード],倉庫システム,,BUNS,運送会社コード,LIPS,AESKD,得意先設計変更ステータス
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000107(管理番号10115)_インタフェース項目定義書_出荷貨物追跡データ_R0.81.xlsx_12_backward,[source_system:部品SAP] [source_table:LIPS] [source_field:AESKD] [source_description:得意先設計変更ステータス],部品SAP,LIPS,AESKD,得意先設計変更ステータス,,BUNS,運送会社コード
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000107(管理番号10115)_インタフェース項目定義書_出荷貨物追跡データ_R0.81.xlsx_13_forward,[source_system:倉庫システム] [source_table:] [source_field:BYBN] [source_description:輸送便コード],倉庫システム,,BYBN,輸送便コード,VBKD,VSART,出荷タイプ
mapping_D:\antigravity\TIC\EXCEL\历史设计书\091_IFZ9000107(管理番号10115)_インタフェース項目定義書_出荷貨物追跡データ_R0.81.xlsx_13_backward,[source_system:部品SAP] [source_table:VBKD] [source_field:VSART] [source_description:出荷タイプ],部品SAP,VBKD,VSART,出荷タイプ,,BYBN,輸送便コード
